id,tick_number,action,is_red_security,is_blue_security,is_yellow_security,is_blue_capability,is_yellow_capability,is_red_capability,is_attack,is_peer_sanction,is_manager_sanction,player_id
1517,37,8,1,0,1,0,1,1,1,0,0,103
1518,38,6,1,1,1,1,1,1,0,0,0,103
1519,39,3,1,1,1,1,1,1,0,0,0,103
1520,40,3,1,1,1,1,1,1,0,0,0,103
1521,1,3,1,1,1,1,1,1,0,0,0,109
1522,2,3,0,0,0,0,0,0,4,0,0,109
1523,3,3,0,0,0,0,0,0,0,0,0,109
1524,4,3,0,0,0,0,0,0,0,0,0,109
1525,5,5,0,0,0,0,0,0,1,0,1,109
1526,6,5,0,0,0,0,0,0,0,0,1,109
1527,7,5,0,0,0,0,0,0,0,0,1,109
1528,8,5,0,0,0,0,0,0,1,0,1,109
1529,9,5,0,0,0,0,0,0,0,0,1,109
1530,10,5,0,0,0,0,0,0,2,0,1,109
1531,11,3,0,0,0,0,0,0,4,0,0,109
1532,12,3,0,0,0,0,0,0,0,0,0,109
1533,13,3,0,0,0,0,0,0,0,0,0,109
1534,14,5,0,0,0,0,0,0,0,0,1,109
1535,15,5,0,0,0,0,0,0,0,0,1,109
1536,16,5,0,0,0,0,0,0,0,0,1,109
1537,17,5,0,0,0,0,0,0,0,0,1,109
1538,18,5,0,0,0,0,0,0,0,0,1,109
1539,19,5,0,0,0,0,0,0,0,0,1,109
1540,20,8,1,1,1,1,1,1,2,0,0,109
1541,21,6,1,1,1,1,1,1,1,0,0,109
1542,22,3,1,1,1,1,1,1,0,0,0,109
1543,23,3,1,1,1,1,1,1,0,0,0,109
1544,24,6,1,1,1,1,1,1,1,0,0,109
1545,25,3,0,0,0,0,0,0,4,0,0,109
1546,26,3,0,0,0,0,0,0,0,0,0,109
1547,27,7,0,0,1,0,1,0,3,0,0,109
1548,28,5,0,0,1,0,1,0,1,0,1,109
1549,29,5,0,0,1,0,1,0,0,0,1,109
1550,30,5,0,0,1,0,1,0,1,0,1,109
1551,31,5,0,0,1,0,1,0,0,0,1,109
1552,32,6,1,1,1,1,1,1,1,0,0,109
1553,33,3,1,1,1,1,1,1,0,0,0,109
1554,34,7,1,1,1,1,1,1,3,0,0,109
1555,35,8,1,1,1,1,1,1,2,0,0,109
1556,36,3,0,0,0,0,0,0,4,0,0,109
1557,37,6,0,1,0,1,0,0,1,0,0,109
1558,38,3,0,1,0,1,0,0,0,0,0,109
1559,39,3,0,1,0,1,0,0,0,0,0,109
1560,40,5,0,1,0,1,0,0,0,0,1,109
1561,1,3,1,1,1,1,1,1,0,0,0,115
1562,2,3,0,0,0,0,0,0,4,0,0,115
1563,3,3,0,0,0,0,0,0,0,0,0,115
1564,4,3,0,0,0,0,0,0,0,0,0,115
1565,5,5,0,0,0,0,0,0,1,0,1,115
1566,6,5,0,0,0,0,0,0,0,0,1,115
1567,7,5,0,0,0,0,0,0,0,0,1,115
1568,8,5,0,0,0,0,0,0,1,0,1,115
1569,9,5,0,0,0,0,0,0,0,0,1,115
1570,10,5,0,0,0,0,0,0,2,0,1,115
1571,11,6,0,1,0,1,0,0,4,0,0,115
1572,12,8,1,1,0,1,0,1,0,0,0,115
1573,13,7,1,1,1,1,1,1,0,0,0,115
1574,14,3,1,1,1,1,1,1,0,0,0,115
1575,15,3,1,1,1,1,1,1,0,0,0,115
1576,16,3,1,1,1,1,1,1,0,0,0,115
1577,17,3,1,1,1,1,1,1,0,0,0,115
1578,18,3,1,1,1,1,1,1,0,0,0,115
1579,19,3,1,1,1,1,1,1,0,0,0,115
1580,20,3,0,1,1,1,1,0,2,0,0,115
1581,21,3,0,0,1,0,1,0,1,0,0,115
1582,22,3,0,0,1,0,1,0,0,0,0,115
1583,23,3,0,0,1,0,1,0,0,0,0,115
1584,24,6,0,1,1,1,1,0,1,0,0,115
1585,25,8,1,0,0,0,0,1,4,0,0,115
1586,26,7,1,0,1,0,1,1,0,0,0,115
1587,27,7,1,0,1,0,1,1,3,0,0,115
1588,28,6,1,1,1,1,1,1,1,0,0,115
1589,29,3,1,1,1,1,1,1,0,0,0,115
1590,30,6,1,1,1,1,1,1,1,0,0,115
1591,31,3,1,1,1,1,1,1,0,0,0,115
1592,32,6,1,1,1,1,1,1,1,0,0,115
1593,33,3,1,1,1,1,1,1,0,0,0,115
1594,34,3,1,1,0,1,0,1,3,0,0,115
